Job ID,Role,Company,Location,Estimated HR Email (Format)
1,Network Engineer,Ogero Telecom,"Beirut, Lebanon",careers@ogerotelecom.com
2,Senior Network Engineer,Touch (Zain),"Beirut, Lebanon",careers@touch(zain).com
3,Network Infrastructure Engineer,Alfa (MTN),"Beirut, Lebanon",careers@alfa(mtn).com
4,IT Network Engineer,Bank Audi,"Beirut, Lebanon",careers@bankaudi.com
5,Network Administrator,Byblos Bank,"Beirut, Lebanon",careers@byblosbank.com
6,IT Infrastructure Engineer,BLOM Bank,"Beirut, Lebanon",careers@blombank.com
7,Network Engineer,Fransabank,"Beirut, Lebanon",careers@fransabank.com
8,NOC Engineer,Credit Libanais,"Beirut, Lebanon",careers@creditlibanais.com
9,Network Specialist,IM Bank (Ibn Sina),"Beirut, Lebanon",careers@imbank(ibnsina).com
10,Network Engineer,Mobi,"Beirut, Lebanon",careers@mobi.com
11,Senior Network Engineer,Multilink,"Beirut, Lebanon",careers@multilink.com
12,Network Infrastructure Engineer,Data Management,"Beirut, Lebanon",careers@datamanagement.com
13,Network Consultant,INFOGATE,"Beirut, Lebanon",careers@infogate.com
14,IT Network Engineer,Sodigital,"Beirut, Lebanon",careers@sodigital.com
15,Network Engineer,IDM (Internet Diamond),"Beirut, Lebanon",careers@idm(internetdiamond).com
16,Network Specialist,Cyberia,"Beirut, Lebanon",careers@cyberia.com
17,Network Engineer,Broadband Plus,"Beirut, Lebanon",careers@broadbandplus.com
18,Network Infrastructure Engineer,Sodetel,"Beirut, Lebanon",careers@sodetel.com
19,IT Infrastructure Engineer,Solidere,"Beirut, Lebanon",careers@solidere.com
20,IT Infrastructure Engineer,Khatib & Alami,"Beirut, Lebanon",careers@khatib&alami.com
21,Senior Network Engineer,Etisalat,"Abu Dhabi, UAE",careers@etisalat.com
22,Network Architect,du (Emirates Telecom),"Dubai, UAE",careers@du(emiratestelecom).com
23,Network Engineer,Emirates NBD,"Dubai, UAE",careers@emiratesnbd.com
24,IT Infrastructure Engineer,ADNOC,"Abu Dhabi, UAE",careers@adnoc.com
25,Network Security Engineer,DIFC,"Dubai, UAE",careers@difc.com
26,Network Engineer,Mashreq Bank,"Dubai, UAE",careers@mashreqbank.com
27,Network Administrator,RAK Group,"Ras Al Khaimah, UAE",careers@rakgroup.com
28,Senior Network Engineer,STC,"Riyadh, Saudi Arabia",careers@stc.com
29,Network Architect,Mobily,"Riyadh, Saudi Arabia",careers@mobily.com
30,IT Network Engineer,SABIC,"Dhahran, Saudi Arabia",careers@sabic.com
31,Network Infrastructure Engineer,Saudi Aramco,"Dhahran, Saudi Arabia",careers@saudiaramco.com
32,Network Engineer,Al Rajhi Bank,"Riyadh, Saudi Arabia",careers@alrajhibank.com
33,Senior Network Engineer,Ooredoo,"Doha, Qatar",careers@ooredoo.com
34,Network Engineer,QNB,"Doha, Qatar",careers@qnb.com
35,IT Network Engineer,Qatar Airways,"Doha, Qatar",careers@qatarairways.com
36,Network Engineer,Zain Kuwait,"Kuwait City, Kuwait",careers@zainkuwait.com
37,Senior Network Engineer,Ooredoo Kuwait,"Kuwait City, Kuwait",careers@ooredookuwait.com
38,Network Infrastructure Engineer,Kuwait Finance House,"Kuwait City, Kuwait",careers@kuwaitfinancehouse.com
39,Network Engineer,Batelco,"Manama, Bahrain",careers@batelco.com
40,Network Administrator,Bahrain Tel,"Manama, Bahrain",careers@bahraintel.com
41,Senior Network Engineer,Vodafone Egypt,"Cairo, Egypt",careers@vodafoneegypt.com
42,Network Engineer,Orange Egypt,"Cairo, Egypt",careers@orangeegypt.com
43,Network Infrastructure Engineer,WE (Telecom Egypt),"Cairo, Egypt",careers@we(telecomegypt).com
44,Network Engineer,Zain Jordan,"Amman, Jordan",careers@zainjordan.com
45,Senior Network Engineer,Orange Jordan,"Amman, Jordan",careers@orangejordan.com
46,Network Engineer,Zain Iraq,"Baghdad, Iraq",careers@zainiraq.com
47,Network Engineer,Korek Telecom,"Erbil, Iraq",careers@korektelecom.com
48,Senior Network Engineer,Remote.com,Remote,careers@remote.com.com
49,Network Consultant,Toptal,Remote,careers@toptal.com
50,Senior Network Engineer,Turing,Remote,careers@turing.com
51,Cloud Network Engineer,Emirates Cloud,"Dubai, UAE",careers@emiratescloud.com
52,Network Engineer,Khazna,"Abu Dhabi, UAE",careers@khazna.com
53,Senior Network Engineer,Gulf Business Machines,"Dubai, UAE",careers@gulfbusinessmachines.com
54,Network Engineer,Equinix MENA,"Dubai, UAE",careers@equinixmena.com
55,Network Engineer,Global Cloud Exchange,"Dubai, UAE",careers@globalcloudexchange.com
56,IT Support Engineer,Berytech,"Beirut, Lebanon",careers@berytech.com
57,IT Network Engineer,MEA Airlines,"Beirut, Lebanon",careers@meaairlines.com
58,IT Engineer,Whouse,"Beirut, Lebanon",careers@whouse.com
59,IT Infrastructure Engineer,Emaar Properties,"Dubai, UAE",careers@emaarproperties.com
60,Senior Network Engineer,Mubadala Investment,"Abu Dhabi, UAE",careers@mubadalainvestment.com
61,IT Network Engineer,Aldar Properties,"Abu Dhabi, UAE",careers@aldarproperties.com
62,IT Infrastructure Engineer,Dubai Holding,"Dubai, UAE",careers@dubaiholding.com
63,IT Network Engineer,Jumeirah Group,"Dubai, UAE",careers@jumeirahgroup.com
64,IT Infrastructure Engineer,Majid Al Futtaim,"Dubai, UAE",careers@majidalfuttaim.com
65,Network Engineer,Nakheel Properties,"Dubai, UAE",careers@nakheelproperties.com
66,Senior Network Engineer,NEOM,"NEOM, Saudi Arabia",careers@neom.com
67,IT Network Engineer,ACWA Power,"Riyadh, Saudi Arabia",careers@acwapower.com
68,IT Infrastructure Engineer,Maaden Mining,"Riyadh, Saudi Arabia",careers@maadenmining.com
